smiles,ld50
CC=C(C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(CO)C5CCC34C)C2CC1(C)C,3.13
CCC(C(O)C1=CC2=C(NC(=O)C=C2)C=C1)N1CCN(CC1)C1=CC(Cl)=CC=C1,2.92
CCOC=C(C(=O)OCC)C(=O)OCC,2.37
CC(C)CC(C)CCCC(C)COC=C,2.24
CC(C)C1=C2C(NS1)=NC(=NC2=O)C(C)(C)C,1.39
CCOC(=S)C=CC1=CC=C(Cl)C=C1,2.38
OCC=CCCCC=C,0.98
CCOC(=S)SSC(=S)OCC,2.7
ClCC1=CC=CC=C1,2.01
ClC(Cl)C(=O)NC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O,1.44
COC(OC)=NC#N,1.88
CN(C)CCOC1=CC2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,3.04
NC1=CC(N)=CC=C1,2.59
NC1=CC(Cl)=CC=C1O,2.32
CN1CC2=C(C=CC=C2)C2CCC3=C(C=CC=C3)C12,2.4
FC(F)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,2.46
CCC1(CCC(O1)C1(C)CCC2(CC(O)C(C)C(O2)C(C)C(OC)C(C)C(O)=O)O1)C1OC(CC1C)C1OC(O)(CO)C(C)CC1C,3.83
COP(N)(=S)SC,2.8
CN(C1=CC=C(Cl)C=C1Br)C1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)C(F)(F)F,5.0
CCOP(=S)(OCC)SC1=CC=C(C)C=C1,2.94
NC(CS)C(O)=O,1.81
CCOP(=S)(OCC)OCCS(=O)CC,3.44
ClCS(Cl)(=O)=O,2.6
COP(=O)(OC)OC1=CC=C(C(C)=C1)S(C)(=O)=O,3.99
CCCCC(CC)CCC(C)N,2.37
CCOP(=S)(OCC)SCN1N=C(Br)C=CC1=O,4.09
CCOP(=O)(OP(=O)(OCC)N(C)C)N(C)C,4.37
CCCN(CCC)C(=O)SCC,2.31
[O-][N+](=O)C1=CC=C(O1)C=NNC(=O)CN1CCNCC1,2.97
COC1=C(OP(=S)(NC(C)C)OC)C=NN(C)C1=O,4.79
CC(CNN=C(C)C(O)=O)=CC1=CC=CC=C1,2.53
O1C=NN=C1C1=CC=CC=C1,2.52
CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12,1.98
CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,2.17
COC(=O)C(C)=COP(=S)(OC)OC,2.55
ClCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCl,2.6
NC1CCS(=O)(=O)C1,0.88
NC1=NC2=C(O1)C=C(Cl)C=C2,2.87
CCOC(=O)CC1=CC=CC2=C1C=CC=C2,1.78
COC1=C(C(O)=O)C(Cl)=C(Cl)C=C1Cl,2.93
ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,2.56
ON(N=O)C1=CC=CC=C1,2.45
CCOC(C1=NCC(C)(C)CN1)C1=CC=C(OC)C=C1,2.65
OC(=O)C1=CC2=C(C=CC=C2)C=C1O,2.35
CC(N)CNCCCO,1.37
CC(C)=CC1CC(C)=CCO1,1.48
CN1C(=O)SC2=C1C(Cl)=CC=C2,2.01
CCOP(=S)(CC)SC1=CC=C(Cl)C=C1,4.94
O=C(CN1CC1)NCCCCCCCCNC(=O)CN1CC1,3.14
CC(=O)CCCO,1.2
CC(C)NC1=NC(=NC(NC(C)C)=N1)N(C)C#N,2.17
CN1CCN2C(C1)C1=C(CC3=C2C=CC=C3)C=CC=C1,2.46
CCC(=O)C1C2=C(C(O)=CC=C2)C(=O)C2=C1C=CC=C2O,3.31
O=CCC1=CC=CC=C1,1.89
CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,3.06
ClC1=CC=CC(=C1)N=C=O,1.56
CCCC(=NOCC)C1=C(O)CC(CC1=O)C1CCCSC1,1.92
CN(N=O)C(C)=O,3.71
CCOP(=S)(OC(C)C)OC1=C(SC)C(=O)N(C)N=C1,3.93
O=C1CC2CC1C1CCCC21,2.35
CN(C)C1=CC=C(CN2C=NC3=C2C(=O)N(C)C(=O)N3C)C=C1,2.46
CCCCCCNC(=O)N1C=C(F)C(=O)NC1=O,2.98
CCC1=NN(C2=C1C=CNC2=O)C1=CC=C(F)C=C1,2.84
NC(=O)CF,4.13
CCN(CC)CCNC(=O)C1=C(OC)C=C(N)C(Br)=C1,2.8
CCON(CC)N=O,2.07
C1CN(CCO1)C1=CC=CC=C1,2.24
CCOP(=O)(OCC)SCS(=O)CC,5.42
NC1=NC=CS1,2.32
CN(C)CCCO,1.69
NC1=CC=C(SC#N)C=C1,2.8
CC(C)=CCCC(C)(OC(=O)C=CC1=CC=CC=C1)C=C,1.46
OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,2.17
NS(=O)(=O)C1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)N1CCCC1,1.81
CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,3.5
CCOC=CC,1.38
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OC1=C(Cl)C=CC=C1,3.49
COP(=O)(NC(C)=O)SC,2.42
CC(C)NC(=O)C=C,2.48
NCCCNCCSP(O)(O)=O,2.41
OC(=O)C1=CC=C(C(=O)OCCOC(=O)C=C)C(=C1)C(O)=O,1.99
CCC=CCC=O,1.8
CC(C)C1=CC=C(COC(C)=O)C=C1,2.12
OCC(CO[N+]([O-])=O)O[N+]([O-])=O,2.11
CCCC1=CC=CC=C1,1.3
NC1=C(C=C2C=C(C=C(C2=C1)S(O)(=O)=O)S(O)(=O)=O)S(O)(=O)=O,1.47
CN(CC#C)C1CCC2=C1C=CC=C2,2.87
CCCCOC(=O)C(C)OC1=CC=C(OC2=NC=C(C=C2)C(F)(F)F)C=C1,2.15
ClC1(Cl)C(=O)C2=CC=C3CCC4=CC=C(C1=O)C2=C34,1.44
OC(=O)CC1=C(N=C(S1)C1=CC=CC=C1)C1=CC=C(Cl)C=C1,2.91
N#CCCNCCC#N,1.66
COP(=S)(OC)SCN1N=NC2=C(C=CC=C2)C1=O,4.66
CC(N(CC1=CN=C(C)N=C1N)C=O)=C1CCOC(=O)S1,1.61
OC1=CC=C(C=C1)C1(OC(=O)C2=C1C(I)=C(I)C(I)=C2I)C1=CC=C(O)C=C1,2.47
COP(=O)(OC)SCC(Cl)(Cl)Cl,3.26
CCOP(C)(=O)SCCN(C)C,6.24
CC(C)CCCC(C)C1CCC2C(CCCC12C)=CC=C1CC(O)CCC1=C,3.96
COP(Cl)(=S)OC,2.47
CCSSCC,1.78
COC1=CC=C(C=C2N3C=NC4=C(C=CC=C4)C3=NC2=O)C=C1,3.07
OC(=O)CC1=CC=CC2=C1C=CC=C2,2.27
FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=C1C=CC=C2,2.7
OC1=C(S)C=CC=C1,2.85
CCCN(CC)S(=O)(=O)CCNC(=O)N(CCCl)N=O,3.12
CC1OC(CC(O)C1O)OC1C(O)CC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CCC4(C)C(C(CC54O)OC=O)C4=CC(=O)OC4)C3)OC2C)OC1C,4.43
CC(C)C(=O)OC1CCC(CC1)N1CCCCC1,1.91
CCOP(=O)(OCC)SCN1C(=O)C2=C(C=CC=C2)C1=O,4.48
CC(C)CCO,1.83
CCOC=C,1.07
OC(=O)C1=CC(=CC(=C1)C(O)=O)S(O)(=O)=O,1.98
CN1CCCN=C1C=CC1=CC=CS1,3.08
CCCC(C)C(O)=O,1.75
CC=CC=CCOC(=O)C(C)C,1.53
CC(C)OC(=O)C1=CC(=CN=C1)C(=O)OC(C)C,1.68
CCSC(=S)N(C)C,2.43
O=CC1=CCCCC1,2.02
ClC1=C(Cl)C2C(C1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,3.16
CCOC(=O)CSP(=S)(OCC)OCC,2.39
ClC1=C(Cl)C2(Cl)C3C(C(=O)OC3=O)C1(Cl)C2(Cl)Cl,2.21
CC1CC2OC2CC1COC(=O)CCCCC(=O)OCC1CC2OC2CC1C,1.96
CC1=CC=C(Cl)C=C1,1.78
CC1=CC=C(C)C(C)=C1C,1.32
CC=CC=CC#N,2.12
OC1=CC=CC(OC2=CC=CC=C2)=C1,2.19
OCCSSCCO,2.95
CN(C)C1=C(CSC2=NC(=O)C=C(C)N2)C=CC=C1,2.06
CCC1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1O,1.4
CC(=O)C1OC1(C)C,1.85
COP(N)(=O)SC,4.28
BrCC(Br)(CCC#N)C#N,2.71
CCOP(=S)(OCC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,4.49
CCCCCC(OCC1=CC=CC=C1)C=CN1C=CN=C1,2.05
[O-][N+](=O)C1=C2N=C(NC2=CC(Cl)=C1Cl)C(F)(F)F,3.52
CCOCC(C)O,1.37
CCC(O)CO,0.75
ClC(Cl)(Cl)C(=O)OCCOC(=O)C(Cl)(Cl)Cl,1.7
CCOP(=S)(OCC)SC(=CC(=O)OC)C(=O)OC,3.61
CCC(C)(N)C#N,3.12
OC(=O)CCCCCC(O)=O,1.36
CCCCNC(=O)N1C(NC(=O)OC)=NC2=C1C=CC=C2,1.46
CCOP(=O)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O,5.18
[O-]C(=O)C1=C(C[N+]2=CC=CC=C2)CSC2C(NC(=O)CC3=CC=CS3)C(=O)N12,2.22
[O-][N+](=O)C=C1SCCN1CC1=CC=CC=C1,2.37
CCOC(C(=N)N1CCCC1)C1=CC=CC=C1,2.67
CCN(CC)C(=O)CCC(C)=O,1.56
CC(C)C(Br)C(O)=O,2.37
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,2.53
CC1=NC=CC=C1,2.07
CCCCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC,0.98
CC(N)C1CCC(CC1)C1=CC=CC=C1,2.47
CCOP(=O)(OCC)OC(=C)P(=O)(OC)OC,3.22
CCOC(=S)C=CC1=CC=C(OC)C=C1,2.38
CCCCOP(OCCCC)OCCCC,1.92
CN(C)CC1=C(O)C=CC(=C1)C1=CC=CC=C1,3.96
CCCCC1=CC=C(C)C=C1O,2.17
C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1,1.89
CCP(=S)(OCC(C)C)SCN1C(=O)C2=C(C=CC=C2)C1=O,3.68
OC1=CC(SC2=CC(O)=CC(O)=C2)=CC(O)=C1,1.77
CCC(CC)COCCOC(=O)CCC(=O)OCCOCC(CC)CC,2.06
CN(CCO)CC1=CC(=CC(=C1O)C(C)(C)C)C(=O)C1=CC=CS1,2.54
CCCC(C)COC(C)=O,1.29
CC1=NC=CN=C1C,2.25
CN(CCN(C)N=O)N=O,3.07
CCC1=CC=CC=C1,1.48
CCCCCCCCCCCCCCCCOC(=O)CC1=CC=C(C=C1)N(CCCl)CCCl,3.7
CN(C(=O)CF)C1=CC=CC2=C1C=CC=C2,3.51
N1N=NC2=C1C=CC=C2,2.33
CCOP(=S)(OCC)SCCC(F)=C(F)F,2.64
CC(C)=NNC(=O)CSC1=CC(OC2=CC=C(C)C=C2)=NC=N1,2.56
CN(C)CCN,1.89
CCCCOCC1CO1,1.89
CNC(=O)OC1=CC=C(C)C(C)=C1C,2.78
OC1=CC=C(Cl)C=C1Cl,3.54
ClC(Cl)=C(Cl)C=C,2.37
CCOC(=O)C1=CC=C(NC(=O)CC2=CC=C(N2C)C(=O)C2=CC=C(C)C=C2)C=C1,2.35
COC=CC=C,1.68
CC(C)N1C(=O)C2=C(NS1(=O)=O)C=CC=C2,2.34
COC1=C(C=CC=C1)C1C(Cl)C(=O)N1C1=C(C=CC=C1)C(O)=O,2.14
FC1=C(C=CC=C1)C1=NCC(=O)N(CC2CC2)C2=C1C=C(Cl)C=C2,1.53
CC(=O)C1=CC=CC(=C1)[N+]([O-])=O,1.71
CNC(=O)OC1=C(C=CC=C1)C1CCCC1,3.07
CN1CCC23CCCCC2C1CC1=CC=C(O)C=C31,3.23
CCCCCCCCCCCCCCCC(=O)NC(CCC(O)=O)C(O)=O,2.29
CC(CCl)OC(C)CCl,2.85
CC1=C(OC2=NN=CC=C2)C=CC=C1,1.78
FC(F)(F)C1=NC2=C(N1)C=C(Cl)C(Br)=C2,4.52
CC(=O)NNC1=CC=C(N)C=C1,4.22
CCOC(=O)CCN(CC1=CC=CC=C1)SN(C)C(=O)ON=C(C)SC,3.08
S=C(C=CC1=CNC=N1)N1CCOCC1,2.3
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(C(O)=O)C1=CC=CC=C1,3.56
CCCCCC(C)(O)CC,1.63
FC1=C(Br)C2=C(N=C(N2)C(F)(F)F)C(Cl)=C1Br,4.8
CCCC(=O)C1=CC=C(N)C=C1,3.29
CCC(C)(C)C1(CO1)C(C)(C)CC,1.51
N#CC=CC1=CC=CC=C1,1.49
CCCC1=C(O)C=CC=C1,2.44
CCCC=CCO,1.46
CCCCCCC1=C(O)C=CC=C1,2.14
C[Si](C)(C)CCCC(O)=O,1.73
COP(C)(=S)SC1=CC=CC=C1,3.16
CC(C=C)=CCCC(C)(C)O,1.96
OC(=O)CC1=CC=CC=C1,1.78
NC1=CC=C(C=C1)C1=CC=CC=C1,2.53
CC(=N)NP(=S)(OC1=CC=C(Cl)C=C1)OC1=CC=C(Cl)C=C1,5.01
OCNC(=O)C=C,2.33
CCOP(=S)(OCC)OC1=NC2=CC=CC=C2N=C1,4.06
OC(C=O)C1OC(=O)C(O)C1O,1.22
CN(C)CCC(CC=C(C)C)(C(N)=O)C1=CC=CC2=C1C=CC=C2,3.36
CNC(=O)ON=CC(C)(C)OC,4.07
CCC1=C(O)C(=O)C=CO1,2.09
CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1,2.52
CC(C)CCC=O,1.34
CN(C)C1=CC=C(C=C1)C1=NN(C)C(=O)N=C1C1=CC=C(C=C1)N(C)C,2.07
COC1=CC=C(C=C1)C(=O)N1CCCC1=O,1.69
CCN(CC)CCSC(=O)N(C1=CC=CC=C1)C1=CC=CC=C1,2.95
CCCN(CCC)S(=O)(=O)CCNC(=O)N(CCCl)N=O,3.14
C1OC2=C(O1)C=CC=C2,2.32
OC(C=C)C(O)C=C,1.84
ClC(Cl)(Cl)COC(=O)C1=CC=CO1,2.61
CCN(C(C)=O)C1=C(I)C(OCCOC(C)C(O)=O)=C(I)C=C1I,2.62
OC1C(COP(O)(=O)OP(O)(O)=O)OC(C1O)N1C=NC2=C1N=CN=C2O,2.05
CC1CC(=O)CC(C)O1,1.58
OC(C=NNC(=O)C1=CC=NC=C1)C1OC(=O)C(O)C1O,1.66
CC1N=C(N)CC1C1=CC=CC=C1,2.62
COC1=CC2=C(C=C1)C(C1=CC=C(OCC(O)CNC(C)C)C=C1)=C(C(=O)O2)C1=CC=CC=C1,2.66
CC1=C(NCCO)C=CC=C1,1.84
ClCC=C,2.22
CNC1=CC=C(N)C2=C1C(=O)C1=C(C=CC=C1)C2=O,1.7
CC1=CC2=C(NC(=O)S2)C(C)=C1,1.79
NC1=NC=NC2=C1N=CN2C1OC2=CC(OC2C1O)(C(O)C(O)=O)C(O)=O,3.58
CCCCCCCOC(=O)C=C,1.58
CCN1CCCC1CNC(=O)C1=C(OCC2=CC=CC=C2)C(Cl)=CC(Cl)=C1,2.85
OCC1=CC=C(O1)C=O,1.7
COC1=CC=C(OC)C(CC(C)N)=C1,3.06
CCC1=C(C(=O)C2=CC(Br)=C(O)C(Br)=C2)C2=C(O1)C=CC=C2,3.23
CCOC1OC2=CC=C(OS(C)(=O)=O)C=C2C1(C)C,2.4
CCCCCCCCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O,1.14
CCCOP(=S)(CC)SCOC1=CC=C(Cl)C=C1Cl,3.66
CC(=C)C(=O)OCCC#N,1.28
CNC(=O)OC1=C(C=CC=C1)C1OCCS1,3.63
ClC(Cl)=COP(=O)(NCC=C)OC1CCCCC1,3.5
[O-][N+](=O)C1=CC=C(O1)C=NN1CC(=O)NC1=O,2.6
CCOP(=O)(OCC)OC1=CC=C(Cl)C=C1Cl,3.48
CCCCC(C)=O,1.59
CCCOC=O,1.34
FC(F)(C#N)C(F)(F)C(F)(F)C(F)(F)C#N,1.94
CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,1.71
CC(C)=CC(C)=O,1.94
CC(O)COC(=O)CBr,2.47
COP(=S)(OC)SCSCC=C(Cl)Cl,3.57
CCC(C)(C)C1=CC=C(Cl)C(OC(=O)NC)=C1,3.53
OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Br)C=C1,3.07
COC1=CC=C2C(C(C3=CC=CC=C3)C(C)(C)OC2=C1)C1=CC=C(OCC=C)C=C1,2.9
CCN(CCO)C1=CC=CC=C1,2.0
CCOCN(C(=O)CCl)C1=C(C)C=CC=C1OC(C)C,2.04
CCCC1C(=O)N2N(C1=O)C1=C(C=CC(C)=C1)N=C2N(C)C,2.22
COC1=CC=C(OC)C(NC(=O)CNC(=O)CC2=CC=C(N2C)C(=O)C2=CC=C(C)C=C2)=C1,2.48
COCCSCCO,0.97
CCCCNS(=O)(=O)C1=CC=CC=C1,2.02
OC(CCl)CNC1=C(NCC(O)CCl)C=CC=C1,2.51
CC1CCCC2C(C)OP(Cl)(=S)OC12,3.31
CCN(N=O)C(=O)NC(C)=O,2.46
CC(OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1)C(O)=O,2.2
CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1,2.11
CC(C)OP(=S)(OC(C)C)SCN1N=CC=CC1=O,3.81
FC(F)(F)COC1CCC(CN2C=NC=N2)(O1)C1=CC=C(Cl)C=C1Cl,2.94
C(CN1CCCC1)OC1=C2C=CC=CC2=NC=C1,2.94
NC(=O)CC1=C([O-])ON=[N+]1CC1=CC=CC=C1,1.72
COC1=CC(C)=C2NC(=O)SC2=C1,1.41
FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,1.1
NCC1CCC=CO1,2.05
CC1=CC(=S)C(N)=NN1,1.85
CC1OC(CC(O)C1O)OC1C(O)CC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CCC4(C)C(CCC54O)C4=CC(=O)OC4)C3)OC2C)OC1C,4.51
CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,2.95
CCC(=O)CC,1.6
CN,2.49
CCN(COC)N=O,2.34
ClCC(Br)CBr,3.14
CCN(CC)C(=O)SCC1=CC=C(Cl)C=C1,2.45
CCC(=O)OC(=O)CC,1.74
CC(C)C1=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)C=CC=C1,1.57
CC1CN(CC(C)O1)C1CCCCCCCCCCC1,2.03
CCCOC(C1=NCCN1)C1=CC=CC=C1,2.79
CSC1=CC=C(Cl)C=C1,2.6
CN1N(C(=O)C(I)=C1C)C1=CC=CC=C1,2.18
COP(=O)(OC)OC(C)=CC(=O)OC(C)C1=CC=CC=C1,3.68
CC(Cl)CCC(C)Cl,1.59
FC1=CC=C(F)C(NC(=O)NC2CC2)=C1,3.15
COC1=CC(=CC(OC)=C1OC)C1C2C(COC2=O)C(OC2OC3COC(OC3C(O)C2O)C2=CC=CC=C2)C2=CC3=C(OCO3)C=C12,2.91
CC=CC=CCOCCO,1.66
COC(=O)C1=C(C)NC(C)=C(C1C1=C(OC(F)F)C=CC=C1)C(=O)OC,1.76
CN1C(=O)C2C3C=C(C(C2C1=O)C3=C(C1=CC=CC=C1)C1=NC=CC=C1)C(O)(C1=CC=CC=C1)C1=NC=CC=C1,4.64
